ID,Name,RA,DEC,Obj. Type,Repeater of Primary Burst,DM,DM-Err,DM-Units,Gal. DM Limit,Gal. DM Model,Barycentric Datetime,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
80240,FRB 20201124A,05:07:57.600,+26:11:24.00,FRB,20201124A,410.83,3.23,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_144650722,,,1,1,2021-03-31,,,2020-11-24 08:50:41.885,CHIME_FRB_bot,,2021TNSFR.990....1C,,
67961,FRB 20200120E,09:45:00.000,+68:46:12.00,FRB,20200120E,88.96,1.62,pc/cc,41.62,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_69541452,,,1,1,2021-04-23,,,2020-01-20 09:57:36.006,CHIME_FRB_bot,,2021TNSFR1346....1C,,
56394,FRB 20190907A,08:08:50.400,+46:16:12.00,FRB,20190907A,307.32,3.23,pc/cc,53.34,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,52839758,,,1,1,2020-03-27,,,2019-09-07 17:02:47.762,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
64987,FRB 20190711A,21:57:40.680,-80:21:28.80,FRB,20190711A,593.1,0.4,pc/cc,56.6,NE2001,,,,,FRBCAT,FRBCAT,,FRBCAT,FRB190711,,,1,1,,0.0,Clear-,2019-07-11 01:53:40.861,FRBCAT_bot,,2020TNSFR2470....1P,,
55118,FRB 20190604A,14:35:00.000,+53:16:48.00,FRB,20190604A,553.18,3.23,pc/cc,31.65,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,40227427,,,1,1,2020-03-27,,,2019-06-04 05:49:57.229,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55110,FRB 20190417A,19:38:52.800,+59:24:36.00,FRB,20190417A,1378.11,6.47,pc/cc,77.98,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,37085135,,,1,1,2020-03-27,,,2019-04-17 13:56:04.718,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55107,FRB 20190303A,13:52:19.200,+48:15:00.00,FRB,20190303A,223.21,3.23,pc/cc,29.36,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,32329698,,,1,1,2020-03-27,,,2019-03-03 11:05:16.892,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55105,FRB 20190222A,20:52:19.200,+69:39:00.00,FRB,20190222A,462.6,3.23,pc/cc,87.78,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,31468495,,,1,1,2020-03-27,,,2019-02-22 18:46:01.370,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55102,FRB 20190213A,02:13:57.600,+20:04:48.00,FRB,20190213A,650.23,3.23,pc/cc,43.89,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,30351693,,,1,1,2020-03-27,,,2019-02-13 00:42:26.688,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55101,FRB 20190212A,17:39:28.800,+81:37:48.00,FRB,20190212A,300.85,3.23,pc/cc,50.34,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,30292842,,,1,1,2020-03-27,,,2019-02-12 16:17:23.513,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55099,FRB 20190209A,09:36:16.800,+77:40:12.00,FRB,20190209A,423.78,3.23,pc/cc,45.73,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,30015540,,,1,1,2020-03-27,,,2019-02-09 08:20:20.977,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55098,FRB 20190208A,18:54:38.400,+46:58:12.00,FRB,20190208A,579.06,3.23,pc/cc,71.8,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,29889091,,,1,1,2020-03-27,,,2019-02-08 17:41:50.656,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55096,FRB 20190117A,22:07:19.200,+17:22:48.00,FRB,20190117A,393.05,1.62,pc/cc,48.22,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,27052203,,,1,1,2020-03-27,,,2019-01-17 22:18:32.121,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55094,FRB 20190116A,12:49:04.800,+27:09:36.00,FRB,20190116A,446.43,6.47,pc/cc,19.89,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,26804245,,,1,1,2020-03-27,,,2019-01-16 13:07:33.840,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55595,FRB 20181128A,04:56:12.000,+63:23:24.00,FRB,20181128A,446.43,6.47,pc/cc,111.33,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,21538821,,,1,1,2020-03-30,,,2018-11-28 08:27:41.736,CHIME_FRB_bot,,2020TNSFR.928....1Z,,
55086,FRB 20181119A,12:40:38.400,+65:07:48.00,FRB,20181119A,368.79,6.47,pc/cc,34.02,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,20854062,,,1,1,2020-03-27,,,2018-11-19 16:49:03.194,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55082,FRB 20181030A,10:52:48.000,+73:44:24.00,FRB,20181030A,101.9,1.62,pc/cc,40.61,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,19996599,,,1,1,2020-03-27,,,2018-10-30 04:13:13.026,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55079,FRB 20181017A,17:04:31.200,+68:17:24.00,FRB,20181017A,1268.08,25.88,pc/cc,42.93,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,18572783,,,1,1,2020-03-27,,,2018-10-17 23:26:11.860,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
55523,FRB 20180916B,01:56:40.800,+65:44:24.00,FRB,20180916B,347.76,1.62,pc/cc,198.97,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,15372046,,,1,1,2020-03-27,,,2018-09-16 10:15:19.829,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
55076,FRB 20180908A,12:13:14.400,+74:12:36.00,FRB,20180908A,195.72,1.62,pc/cc,38.84,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,12806027,,,1,1,2020-03-27,,,2018-09-08 21:13:04.110,CHIME_FRB_bot,,2020TNSFR.891....1Z,,
56372,FRB 20180814A,04:21:28.800,+73:44:24.00,FRB,20180814A,190.86,3.23,pc/cc,87.75,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,10889573,,,1,1,2020-03-27,,,2018-08-14 14:49:50.000,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
64913,FRB 20121102A,05:32:09.000,+33:05:13.00,FRB,20121102A,557.0,2.0,pc/cc,188.0,NE2001,,,,,FRBCAT,FRBCAT,,FRBCAT,FRB121102,,,1,1,,0.4,Other-,2012-11-02 06:35:53.244,FRBCAT_bot,,2020TNSFR2470....1P,,
