Repeater of Primary Burst,ra,dec
20121102A,82.99941666666663,33.136923611111115
20180814A,64.49315789473683,73.64315789473685
20180908A,187.01749999999998,74.215
20180916B,29.227911925287355,65.83928261494253
20181017A,256.18499999999995,68.28999999999999
20181030A,158.3122222222222,73.75888888888888
20181119A,189.28166666666667,65.12833333333333
20181128A,73.91999999999999,63.285
20190116A,192.36499999999995,27.16
20190117A,331.9933333333333,17.373333333333335
20190208A,283.5699999999999,46.9675
20190209A,144.175,77.67
20190212A,258.4066666666666,82.235
20190213A,32.62,20.08
20190222A,311.145,69.75
20190303A,208.42076923076922,48.25153846153846
20190417A,294.88749999999993,59.4
20190604A,218.825,53.28
20190711A,329.41808333333324,-80.35788888888888
20190907A,121.86749999999998,46.269999999999996
20200120E,148.26,68.77666666666666
20201124A,77.01097222222221,26.11743518518519
20220912A,348.4045624999999,48.72671944444444
